,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Year
,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,
67,64,Hedo Türkoğlu,"Nov 1, '00, SAC @ CLE",21,15,997,26695,3851,9034,1246,3246,2074,2645,647,3971,2832,750,299,1578,2403,11022,.426,.384,.784,26.8,11.1,4.0,2.8,2001
68,65,David Vanterpool,"Mar 7, '01, WAS @ CLE",27,1,22,411,46,110,0,6,30,50,15,37,66,23,3,37,44,122,.418,.000,.600,18.7,5.5,1.7,3.0,2001
69,66,Jake Voskuhl,"Nov 11, '00, CHI vs. TOR",23,9,450,6443,673,1381,1,3,467,654,562,1539,237,148,166,340,1166,1814,.487,.333,.714,14.3,4.0,3.4,0.5,2001
70,67,Rubén Wolkowyski,"Oct 31, '00, SEA @ VAN",27,2,41,329,27,83,0,3,26,38,12,47,4,6,18,13,41,80,.325,.000,.684,8.0,2.0,1.1,0.1,2001
71,68,Wang Zhizhi,"Apr 5, '01, DAL vs. ATL",23,5,137,1256,213,511,70,182,108,147,56,231,39,25,35,68,155,604,.417,.385,.735,9.2,4.4,1.7,0.3,2001
0,1,Malik Allen,"Nov 30, '01, MIA vs. WAS",23,10,478,7262,1039,2365,3,16,253,325,466,1353,228,130,220,320,897,2334,.439,.188,.778,15.2,4.9,2.8,0.5,2002
1,2,Chris Andersen,"Nov 23, '01, DEN @ POR",23,15,695,12273,1336,2512,15,68,1068,1632,1176,3493,337,312,991,513,1342,3755,.532,.221,.654,17.7,5.4,5.0,0.5,2002
2,3,Gilbert Arenas,"Nov 4, '01, GSW vs. POR",20,11,552,19351,3722,8850,1079,3077,2879,3584,444,2168,2909,884,134,1744,1683,11402,.421,.351,.803,35.1,20.7,3.9,5.3,2002
3,4,Brandon Armstrong,"Nov 2, '01, NJN @ DET",21,3,108,699,101,287,25,75,12,20,22,63,24,22,4,37,83,239,.352,.333,.600,6.5,2.2,0.6,0.2,2002
4,5,Carlos Arroyo,"Oct 30, '01, TOR @ ORL",22,9,569,10651,1431,3269,137,405,771,956,210,965,1761,290,26,680,874,3770,.438,.338,.806,18.7,6.6,1.7,3.1,2002
5,6,Mengke Bateer,"Feb 27, '02, DEN @ GSW",26,3,46,494,61,156,5,15,29,39,39,114,27,11,5,40,118,156,.391,.333,.744,10.7,3.4,2.5,0.6,2002
6,7,Shane Battier,"Nov 1, '01, MEM vs. DET",23,13,977,30004,2982,6819,1250,3254,1194,1606,1273,4082,1717,988,906,878,2208,8408,.437,.384,.743,30.7,8.6,4.2,1.8,2002
7,8,Charlie Bell,"Oct 30, '01, PHO vs. DEN",22,7,376,9368,1192,2891,438,1213,382,497,180,814,857,303,31,362,750,3204,.412,.361,.769,24.9,8.5,2.2,2.3,2002
8,9,Ruben Boumtje-Boumtje,"Oct 30, '01, POR @ LAL",23,3,44,276,14,38,0,0,15,27,22,57,6,4,17,14,40,43,.368,,.556,6.3,1.0,1.3,0.1,2002
9,10,Michael Bradley,"Oct 30, '01, TOR @ ORL",22,5,173,2016,218,457,2,14,45,88,223,591,93,25,47,113,200,483,.477,.143,.511,11.7,2.8,3.4,0.5,2002
10,11,Jamison Brewer,"Nov 20, '01, IND vs. ATL",21,4,54,468,35,94,8,32,11,28,15,50,56,19,2,32,34,89,.372,.250,.393,8.7,1.6,0.9,1.0,2002
11,12,Primož Brezec,"Nov 4, '01, IND @ TOR",22,8,342,6192,1012,2034,1,6,427,609,563,1327,179,69,134,274,730,2452,.498,.167,.701,18.1,7.2,3.9,0.5,2002
12,13,Damone Brown,"Oct 30, '01, PHI @ MIN",22,4,39,351,43,128,4,14,18,27,18,52,19,5,7,31,44,108,.336,.286,.667,9.0,2.8,1.3,0.5,2002
13,14,Ernest Brown,"Nov 15, '01, MIA @ NYK",22,1,3,21,1,6,0,0,1,4,1,6,0,0,1,3,4,3,.167,,.250,7.0,1.0,2.0,0.0,2002
14,15,Kedrick Brown,"Oct 30, '01, BOS @ CLE",20,4,143,1935,203,501,46,168,57,89,98,347,103,85,28,64,170,509,.405,.274,.640,13.5,3.6,2.4,0.7,2002
15,16,Kwame Brown,"Oct 30, '01, WAS @ NYK",19,12,607,13389,1518,3088,1,9,998,1750,1085,3333,554,324,376,771,1385,4035,.492,.111,.570,22.1,6.6,5.5,0.9,2002
16,17,Tierre Brown,"Nov 9, '01, HOU @ DEN",22,4,134,1654,202,526,30,85,93,121,41,166,266,64,4,143,95,527,.384,.353,.769,12.3,3.9,1.2,2.0,2002
17,18,Tyson Chandler,"Oct 31, '01, CHI vs. IND",19,19,1160,31617,3558,5964,0,11,2393,3714,3529,10467,967,630,1335,1656,3268,9509,.597,.000,.644,27.3,8.2,9.0,0.8,2002
18,19,Speedy Claxton,"Oct 30, '01, PHI @ MIN",23,7,334,8548,1126,2753,42,218,802,1053,194,830,1441,503,40,580,827,3096,.409,.193,.762,25.6,9.3,2.5,4.3,2002
